DatePaid;TrackingNumber;Location;LocationName;OSS360_PaymentType;BankName;Montant Total
21/09/2020;L04_02_20200921_42044;L04;Agence Evolis;Chèque BICIG        ;BGFI BANK;200000
21/09/2020;L04_02_20200921_42044;L04;Agence Evolis;Chèque CITIGROUP    ;BGFI BANK;1984072
21/09/2020;L04_02_20200921_42044;L04;Agence Evolis;Chèque ORABANK      ;BGFI BANK;6405502
21/09/2020;L04_02_20200921_42044;L04;Agence Evolis;Chèque UGB          ;BGFI BANK;3312898
22/09/2020;L04_02_20200922_42088;L04;Agence Evolis;Chèque BGFI         ; UBA BANK                               ;1376967
22/09/2020;L04_02_20200922_42088;L04;Agence Evolis;Chèque CDC          ; UBA BANK                               ;1185980
22/09/2020;L04_02_20200922_42088;L04;Agence Evolis;Chèque ORABANK      ; UBA BANK                               ;670636
22/09/2020;L04_02_20200922_42088;L04;Agence Evolis;Chèque UBA          ; UBA BANK                               ;13419233
22/09/2020;L04_02_20200922_42088;L04;Agence Evolis;Chèque UGB          ; UBA BANK                               ;2632615
23/09/2020;L04_02_20200923_42129;L04;Agence Evolis;Chèque BICIG        ;UBA BANK;11362616
23/09/2020;L04_02_20200923_42129;L04;Agence Evolis;Chèque ECOBANK      ;UBA BANK;181875
23/09/2020;L04_02_20200923_42129;L04;Agence Evolis;Chèque ORABANK      ;UBA BANK;538023
23/09/2020;L04_02_20200923_42129;L04;Agence Evolis;Chèque UGB          ;UBA BANK;2253935
24/09/2020;L04_02_20200924_42177;L04;Agence Evolis;Chèque BICIG        ;CITIBANK;261951
24/09/2020;L04_02_20200924_42177;L04;Agence Evolis;Chèque CDC          ;CITIBANK;6967677
24/09/2020;L04_02_20200924_42177;L04;Agence Evolis;Chèque CITIGROUP    ;CITIBANK;216642
24/09/2020;L04_02_20200924_42177;L04;Agence Evolis;Chèque ORABANK      ;CITIBANK;2564503
25/09/2020;L04_02_20200925_42216;L04;Agence Evolis;Chèque BGFI         ;CITIBANK;521833
25/09/2020;L04_02_20200925_42216;L04;Agence Evolis;Chèque CITIGROUP    ;CITIBANK;250962
25/09/2020;L04_02_20200925_42216;L04;Agence Evolis;Chèque ORABANK      ;CITIBANK;2762231
25/09/2020;L04_02_20200925_42216;L04;Agence Evolis;Chèque UGB          ;CITIBANK;2197083
28/09/2020;L04_02_20200928_42262;L04;Agence Evolis;Chèque BGFI         ;BGFI BANK;4494854
28/09/2020;L04_02_20200928_42262;L04;Agence Evolis;Chèque BICIG        ;BGFI BANK;12567367
28/09/2020;L04_02_20200928_42262;L04;Agence Evolis;Chèque ECOBANK      ;BGFI BANK;1409669
28/09/2020;L04_02_20200928_42262;L04;Agence Evolis;Chèque ORABANK      ;BGFI BANK;389441
28/09/2020;L04_02_20200928_42262;L04;Agence Evolis;Chèque UGB          ;BGFI BANK;1784786
29/09/2020;L04_02_20200929_42314;L04;Agence Evolis;Chèque BGFI         ;UBA BANK;1385650
29/09/2020;L04_02_20200929_42314;L04;Agence Evolis;Chèque BICIG        ;UBA BANK;2355018
29/09/2020;L04_02_20200929_42314;L04;Agence Evolis;Chèque UGB          ;UBA BANK;5297905
30/09/2020;L04_02_20200930_42362;L04;Agence Evolis;Chèque BICIG        ;UBA BANK;1759228
30/09/2020;L04_02_20200930_42362;L04;Agence Evolis;Chèque UGB          ;UBA BANK;535882
01/10/2020;L04_02_20201001_42410;L04;Agence Evolis;Chèque BGFI         ;CITIBANK;821014
01/10/2020;L04_02_20201001_42410;L04;Agence Evolis;Chèque BICIG        ;CITIBANK;496993
01/10/2020;L04_02_20201001_42410;L04;Agence Evolis;Chèque ECOBANK      ;CITIBANK;609443
01/10/2020;L04_02_20201001_42410;L04;Agence Evolis;Chèque UBA          ;CITIBANK;84713
01/10/2020;L04_02_20201001_42410;L04;Agence Evolis;Chèque UGB          ;CITIBANK;566299
02/10/2020;L04_02_20201002_42458;L04;Agence Evolis;Chèque BGFI         ;CITIBANK;1990690
02/10/2020;L04_02_20201002_42458;L04;Agence Evolis;Chèque CDC          ;CITIBANK;7500000
02/10/2020;L04_02_20201002_42458;L04;Agence Evolis;Chèque ORABANK      ;CITIBANK;290962
